Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Тип;Модель;Стандарт;"Операционная система";"Материал корпуса";Вес;"Тип экрана";Диагональ;"Размер изображения";"Тип сенсорного экрана";Цветов;"Автоматический поворот экрана";"Тип мелодий";Виброзвонок;Фотокамера;"Макс. частота кадров видео";"Запись видеороликов";"Воспроизведение видео";Аудио;Игры;Java-приложения;"Разъем для наушников";Интерфейсы;"Зарядка от USB";FM-radio;Диктофон;"Встроенный GPS-приемник";"Синхронизация с компьютером";"Использование в качестве USB-накопителя";"Объем встроенной памяти";"Доступ в интернет";"Тип аккумулятора";"Емкость аккумулятора";"Cистема A-GPS";MMS;"Время разговора";"Время ожидания";"Громкая связь (встроенный динамик)";"Режим полета";"Обмен между SIM-картой и внутренней памятью";Органайзер;Комплектация;"Дата анонсирования (г-м-д)";Русификация;Распознавание;"Макс. разрешение видео";"Geo Tagging";Датчики;Видеовыход;Модем;"Поиск по книжке";"Фронтальная камера";"Время работы в режиме прослушивания музыки";"Задняя камера";Особенности;"Поддержка DLNA";"Объем оперативной памяти (RAM)";"Объем постоянной памяти (ROM)";Управление;Автодозвон;"Дополнительные функции SMS";"Профиль A2DP";"Режимы кодирования звука HR, FR, EFR";QWERTY-клавиатура;VoIP-клиент;Push-To-Talk;"Записная книжка в аппарате";Уборка;"Потребляемая мощность";Пылесборник;"Регулятор мощности";"Фильтр тонкой очистки";"Источник питания";"Уровень шума";"Длина сетевого шнура";"Функции и возможности";"Размеры пылесоса (ШxГxВ)";"Дополнительная информация";"Труба всасывания";"Возможность подключения электрощетки";"Дополнительные насадки в комплекте";"Турбощетка в комплекте";"Мощность всасывания";"Электрощетка в комплекте";Чаша;Мощность;"Число скоростей";"Дополнительные режимы";"Количество насадок";Насадки;"Кнопка отсоединения насадок";"Защитная крышка на чашу";"Прорезиненная ручка";"Приспособление для хранения насадок";"Общее число пикселов";"Число эффективных пикселов";"Физический размер";Кроп-фактор;"Тип матрицы";Чувствительность;"Баланс белого";Вспышка;Макросъёмка;Таймер;"Время работы таймера";"Формат кадра (фотосъемка)";"Фокусное расстояние (35 мм эквивалент)";"Оптический Zoom";Диафрагма;Видоискатель;ЖК-экран;"Тип ЖК-экрана";"Ручная настройка выдержки и диафрагмы";"Экспокоррекция ";"Минимальное расстояние съемки";"Тип карт памяти";"Форматы изображения";"Формат аккумуляторов";"Количество аккумуляторов";"Запись видео";"Формат записи видео";"Максимальное разрешение роликов";"Цифровой Zoom";"Дополнительные возможности";"Дата анонсирования";"Дата начала продаж";Размер;"Стабилизатор изображения (фотосъемка)";"Режим серийной съемки";"Подсветка автофокуса";"Фокусировка по лицу";"Разъем питания";"Запись звука";"Название объектива";"Максимальная частота кадров видеоролика";"Максимальная частота кадров при съемке HD-видео";"Электронная стабилизация при видеосъемке";"Скорость съемки";"Число оптических элементов";"Число групп оптических элементов";Выдержка;"Замер экспозиции";"Автоматическая обработка экспозиции";Процессор;"GPU \ видео ускорение";"Уровень SAR";Дисплей;Разрешение;"Оперативная память";Флэш-память;"Встроенная камера";Клавиатура;"Установленные приложения";"Встроенные порты";"Формат видео";"Чтение текста";"Встроенная литиевая батарея";"Время непрерывной работы";Skype;Языки;3G;Ebook;Bluetooth;"Порты расширения";"Видео форматы";Multi-Touch;G-сенсор;"Аудио формат";"Формат изображения";"Углы обзора";"Разъем наушников";"Размеры (ШxВxТ)";Размеры;"Mobile Tracker";"Поддержка двух SIM-карт";Wi-FI;Другое;"В копмлекте"
Гаджеты;"Тестер алмазов ";950.00;tester-almazov-;1;;;;;;;"Тестер алмазов ";"Тестер алмазов , Гаджеты";;;;"sku10730_1.jpg, sku10730_4__1.jpg, sku10730_8__1.jpg, sku10730_7__1.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мобильные телефоны/Смартфоны";"N800 Mini Note";6120.00;n800-mini-note;1;;;;;;;"N800 Mini Note";"N800 Mini Note, Смартфоны";;;;"sku35263.jpg, sku35263_1.jpg, sku35263_2.jpg, sku35263_3.jpg, sku35263_4.jpg";Смартфон;"N800 Mini Note";"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;143гр;TFT;"4.3 дюйма";"480 x 800 пикселя";TFT;"260 тыс.";Есть;полифония/MP3;Есть;"3264 x 2448 пикселей";;;3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;Есть;;;;"зарядное устройство, usb кабель,1 x Data Cable, чехол черный, 2 батареи";;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;512MB;2Gb;;;SMS/MMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"802.11 b/g/n";;
"Планшеты, нетбуки/Android";"Cube U30GT Tablet PC Rockchip RK3066 Dual Core";8250.00;cube-u30gt-tablet-pc-rockchip-rk3066-dual-core;1;;;;;;;"Cube U30GT Tablet PC Rockchip RK3066 Dual Core";"Cube U30GT Tablet PC Rockchip RK3066 Dual Core, Android";;;;"sku20455_12.jpg, sku20455_1_1.jpg, sku20455_2_1.jpg, sku20455_3_1.jpg, sku20455-2.jpg, sku20455-2_1_.jpg";;"Cube U30GT Tablet PC";;"OS Android 4.0";Металлик;671гр;"IPS LED";;;;;;;;;;;;;;;;;;;;;;;;WAP/WIFI;;;;;;;;;;;"зарядное устройство, usb кабель, наушники, OTG кабель";;;;;;;;;;;;;;;;16GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rockchip RK3066, 1.6GHz, Cortex A9 dual core";"Mali 400 MP4";;"10.1 дюймов";"1280 x 800px";"1GB (DDR 3)";;"2,0 мегапикселя";;"File Manager, OfficeSuite, Google Search, Task Manager, Browser, Gallery, Android Webkit, Clock, Calculator, Calendar, iReader, Gmail";"1 x TF card slot; 1 x MINI HDMI port 1 x MINI USB port  1 x 3.5mm Earphone port";"1080P, AVI/MOV/MP4/RMVB/FLV/MKV…";"UMD, TXT, PDF, HTML, RTF, FB2";"7000 MAh";"6-8 часов";;"Русский, Английский, Немецкий, Китайский, Корейский ...";"Не встроен, поддерживаются внешние 3G модемы";;Есть;;;"5 пальцевый";Есть;"MP3, WMA, WAV, APE, AAC, FLAC, OGG ";"JPG, BMP, PNG, GIF";180;"3.5mm, стерео выход";"261 x 171 x 9.5mm";;;;"802.11 b/g/n";;
"Планшеты, нетбуки/Android";"Ampe A10 Deluxe Edition";7150.00;ampe-a10-deluxe-edition;1;;;;7580.00;;;"Ampe A10 Deluxe Edition";"Ampe A10 Deluxe Edition, Android";;;;"sku20514.jpg, sku20514_10_2.jpg, sku20514_6_1.jpg, sku20514_11_2.jpg, sku20514_7_1.jpg";;"Ampe A10 Tablet PC";;"OS Android 4.0";"Алюминиевый корпус";627гр;"IPS LED";;;;;;;;;;;;;;;;;;;;;;;;WAP/WIFI;;;;;;;;;;;"зарядное устройство, usb кабель";;;;;;;;;;;;;;;;16GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"All Winner A10, 1.0GHz, Cortex A8";"Mali 400";;"10.1 дюймов";"1280 x 800px";"1GB (DDR 3)";;"2,0 мегапикселя";;"File Manager, OfficeSuite, Google Search, Task Manager, Browser, Gallery, Android Webkit, Clock, Calculator, Calendar, iReader, Gmail";"1 x TF card slot; 1 x MINI HDMI port 1 x MINI USB port  1 x 3.5mm Earphone port";"2160P, AVI/MOV/MP4/RMVB/FLV/MKV";"UMD, TXT, PDF, HTML, RTF, FB2";"7000 MAh, 3.7V";"8 часов";Есть;;"Не встроен, поддерживаются внешние 3G модемы";;;;;;Есть;"MP3, WMA, WAV, APE, AAC, FLAC, OGG ";;180;"3.5mm, стерео выход";;;;;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";"Hero H8000 Ultra-slim";6678.00;hero-h8000-ultra-slim;1;;;;6800.00;;;"Hero H8000 Ultra-slim";"Hero H8000 Ultra-slim, Смартфоны";;;;"sku35104.jpg, sku35104_8_2.jpg, sku35104_6_3.jpg, sku35104_3_1.jpg, sku35104_1.jpg";Смартфон;"Hero H8000";"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;"424 гр";;"4.0 дюйма";"480 x 854 пикселя";"TFT, сенсорный экран";"16 млн.";Есть;полифония/MP3;Есть;;;;3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;;;;;;512MB;4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";"ZOPO ZP500 Libero Ultra-slim";6780.00;zopo-zp500-libero-ultra-slim;1;;;;6920.00;;;"ZOPO ZP500 Libero Ultra-slim";"ZOPO ZP500 Libero Ultra-slim, Смартфоны";;;;"sku35223_1.jpg, sku35223.jpg, sku35223_2.jpg, sku35223_3.jpg";;"ZOPO ZP500";"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;;;"4.0 дюйма";"480 x 854 пикселя";TFT;"16 млн.";Есть;полифония/MP3;Есть;;;;;;;;;;;;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;;;;;;512MB;4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Есть;"802.11 b/g/n";;
"Мобильные телефоны/Смартфоны";GT-i9300;6720.00;gt-i9300;1;;;;;;;GT-i9300;"GT-i9300, Смартфоны";;;;"sku35224.jpg, sku35224_4_1.jpg, sku35224_10.jpg, sku35224_1.jpg, sku35224_2.jpg";;GT-i9300;"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 2.3.6";Пластик;;;"4.7 дюйма";"854 x 480 пикселя";;"260 тыс.";Есть;полифония/MP3;Есть;;;"720p HD";3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;;;;;;;;;;;;;;;"0,3 мегапикселя";;"8,0 мегапикселя";;;512MB;256MB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Есть;"802.11 b/g/n";;
"Планшеты, нетбуки/Android";"Ployer MOMO 8 Bird";4982.00;ployer-momo-8-bird;1;;;;;;;"Ployer MOMO 8 Bird";"Ployer MOMO 8 Bird, Android";;;;"sku20553.jpg, sku20553_2.jpg, sku20553_1.jpg";;;;"OS Android 4.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8 gb";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1GB (DDR 3)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мобильные телефоны/Смартфоны";"ZOPO ZP200";10080.00;zopo-zp200;1;;;;;;;"ZOPO ZP200";"ZOPO ZP200, Смартфоны";;;;"sku21911.jpg, sku21911_10_2.jpg, sku21911_6_1.jpg, sku21911_1.jpg, sku21911_11_2.jpg";;"ZOPO ZP200";"2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/2100MHz";"Android 4";Пластик;437гр;QHD;"4.3 дюйма";"540 x 960 пикселя";QHD;"16 млн.";Есть;полифония/MP3;Есть;;;"720p HD 1280*720";3GP/MPEG4;MP3/WAV/AMR/AWB;;;;;;Есть;;Есть;;;;WAP/WIFI;;;"Есть, голосовая навигация";;;;Есть;;;;;;;;;;;;;500;"0,3 мегапикселя";;"8,0 мегапикселя";;;1GB;4GB;;;SMS/MMS;;;;;;Есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MTK6575, Cortex A9, 1.0GHz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Есть;"802.11 b/g";"3G, naked eye 3D, HDMI, GPS,WIFI, Bluetooth, FM radio,  UC browser, Himarket, MSN, Email, Gmail, Google search";
Гаджеты;"3d очки пластиковые";160.00;3d-ochki-plastikovye;1;;;;;;;"3d очки пластиковые";"3d очки пластиковые, Гаджеты";"Стильные очки для просмотра 3d фильмов игры и Видео";"<p>Стильные очки для просмотра 3d фильмов игры и Видео</p>";;20439.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
